"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP6,TP5,TP4,TP3,TP2,TP1";"TestPoint_Pad_1.0x1.0mm";6;"TestPoint";;;
2;"D1,D3,D2";"D_SOD-123";3;"D";;;
3;"L1,L2";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";2;"10uH";;;
4;"R3,R2,R9,R1,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100K";;;
5;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.8M";;;
6;"J1";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_ARM_JTAG_SWD_10";;;
7;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2uF";;;
8;"D5";"D_SOD-123";1;"D_Zener_Small";;;
9;"Q2,Q1";"SOT-23-3";2;"NMOS";;;
10;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"576K";;;
11;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10";;;
12;"JP1";"PinHeader_2x01_P2.54mm_Vertical";1;"EXT_SUP";;;
13;"C_Tune,C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7uF";;;
14;"C15,C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
15;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
16;"C4";"CP_Radial_D5.0mm_P2.00mm";1;"5mF";;;
17;"C11,C14,C7,C1,C9,C8,C5,C6,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"1uF";;;
18;"U2";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TPS62125DSG";;;
19;"D4";"D_SOD-123";1;"D_Schottky_Small";;;
20;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3";;;
21;"U1";"NGC1081-32QFN";1;"NGC1081";;;
22;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
23;"L3";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";1;"100uH";;;
24;"JP3,JP_F";"PinHeader_2x01_P2.54mm_Vertical";2;"ANT";;;
25;"C17";"CP_Radial_D5.0mm_P2.00mm";1;"1mF";;;
26;"J2";"TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal";1;"EPD_FCC";;;
